size(byte),cam_time_sent,edge_time_arv,edge_time_sent,telegram_time_arv
86007,14:52:59,14:53:00,14:53:01,14:53:03
84279,14:54:51,14:54:55,14:54:56,14:54:58
79347,14:54:57,14:54:58,14:54:59,14:55:01
84056,14:55:10,14:55:11,14:55:12,14:55:14
80828,14:56:43,14:56:44,14:56:45,14:56:47
79849,14:56:47,14:56:48,14:56:48,14:56:51
79099,14:56:49,14:56:51,14:56:52,14:56:54
82589,14:59:22,14:59:34,14:59:35,14:59:37
81600,14:59:36,14:59:37,14:59:38,14:59:40
79888,15:01:19,15:01:25,15:01:26,15:01:28
77036,15:01:27,15:01:28,15:01:29,15:01:31
81851,15:01:32,15:01:34,15:01:35,15:01:37
81173,15:01:47,15:01:49,15:01:50,15:01:51
82456,15:02:10,15:02:10,15:02:11,15:02:13
82380,15:02:13,15:02:13,15:02:14,15:02:17
80785,15:02:53,15:02:55,15:02:56,15:02:59
81631,15:03:01,15:03:01,15:03:02,15:03:05
81331,15:03:07,15:03:08,15:03:09,15:03:11
80871,15:03:10,15:03:11,15:03:12,15:03:14
80542,15:03:17,15:03:17,15:03:18,15:03:20
81681,15:03:20,15:03:20,15:03:21,15:03:23
80076,15:03:25,15:03:26,15:03:27,15:03:28
81704,15:03:29,15:03:28,15:03:29,15:03:31
79021,15:07:09,15:07:15,15:07:16,15:07:18
78483,15:07:18,15:07:19,15:07:20,15:07:22
79389,15:07:21,15:07:25,15:07:26,15:07:28
80778,15:08:31,15:08:31,15:08:32,15:08:34
79922,15:08:35,15:08:37,15:08:38,15:08:40
79026,15:08:39,15:08:40,15:08:41,15:08:43
80233,15:08:43,15:08:43,15:08:44,15:08:46
81289,15:09:06,15:09:11,15:09:12,15:09:14
80809,15:09:27,15:09:27,15:09:28,15:09:30
82143,15:09:34,15:09:34,15:09:35,15:09:38
81714,15:10:06,15:10:09,15:10:10,15:10:13
77728,15:11:30,15:11:30,15:11:31,15:11:33
80760,15:11:38,15:11:39,15:11:40,15:11:42
79281,15:11:49,15:11:58,15:11:58,15:12:01
33682,15:12:12,15:12:14,15:12:15,15:12:17
77481,15:12:20,15:12:21,15:12:21,15:12:24
78580,15:12:28,15:12:28,15:12:29,15:12:32
77377,15:12:30,15:12:38,15:12:39,15:12:42
77600,15:12:41,15:12:42,15:12:43,15:12:45
76180,15:12:44,15:12:45,15:12:46,15:12:48
81147,15:13:07,15:13:08,15:13:09,15:13:11
78443,15:13:11,15:13:15,15:13:15,15:13:17
79257,15:13:16,15:13:17,15:13:18,15:13:20
79750,15:13:20,15:13:28,15:13:29,15:13:31
79167,15:13:29,15:13:31,15:13:32,15:13:34
81411,15:13:33,15:13:34,15:13:35,15:13:38
79426,15:13:40,15:13:43,15:13:44,15:13:46
80516,15:13:45,15:13:47,15:13:47,15:13:50
81065,15:13:50,15:13:51,15:13:52,15:13:54
81685,15:13:52,15:13:54,15:13:55,15:13:57
89047,15:14:17,15:14:19,15:14:20,15:14:22
86881,15:14:22,15:14:24,15:14:24,15:14:27
87087,15:14:26,15:14:27,15:14:28,15:14:31
85184,15:14:32,15:14:34,15:14:35,15:14:37
85353,15:16:43,15:16:45,15:16:46,15:16:48
80423,15:17:25,15:17:25,15:17:26,15:17:29
79991,15:17:46,15:17:46,15:17:47,15:17:50
