size(byte),cam_time_sent,edge_time_arv,edge_time_sent,telegram_time_arv
91213,14:52:50,14:52:53,14:52:55,14:52:58
85159,14:54:10,14:54:17,14:54:18,14:54:20
84817,14:54:26,14:54:28,14:54:29,14:54:32
89783,14:54:50,14:54:54,14:54:55,14:54:57
93424,14:55:02,14:55:02,14:55:03,14:55:05
92382,14:55:04,14:55:05,14:55:06,14:55:08
92169,14:55:09,14:55:09,14:55:10,14:55:12
84630,14:55:11,14:55:12,14:55:13,14:55:15
78137,14:56:17,14:56:20,14:56:21,14:56:23
88907,14:56:25,14:56:26,14:56:26,14:56:29
91966,14:56:33,14:56:40,14:56:41,14:56:43
90373,14:56:41,14:56:43,14:56:44,14:56:46
88053,14:57:03,14:57:04,14:57:05,14:57:07
90591,14:59:23,14:59:35,14:59:36,14:59:38
90203,14:59:46,14:59:48,14:59:49,14:59:51
84573,15:01:16,15:01:17,15:01:17,15:01:20
88988,15:01:28,15:01:29,15:01:30,15:01:32
88702,15:01:31,15:01:32,15:01:33,15:01:35
83476,15:01:49,15:01:50,15:01:51,15:01:53
89712,15:02:08,15:02:09,15:02:09,15:02:11
91279,15:02:11,15:02:13,15:02:14,15:02:16
90612,15:02:25,15:02:29,15:02:30,15:02:32
90511,15:02:30,15:02:36,15:02:36,15:02:39
89516,0,15:02:55,15:02:56,15:02:58
89170,15:02:58,15:03:02,15:03:03,15:03:06
85912,15:03:06,15:03:07,15:03:08,15:03:10
89025,15:03:09,15:03:12,15:03:13,15:03:15
86242,15:03:18,15:03:19,15:03:20,15:03:22
89113,15:03:21,15:03:25,15:03:26,15:03:28
81141,15:07:04,15:07:05,15:07:06,15:07:08
82757,15:07:09,15:07:15,15:07:16,15:07:18
86908,15:07:17,15:07:18,15:07:19,15:07:21
85159,15:07:21,15:07:25,15:07:26,15:07:28
87445,15:07:26,15:07:30,15:07:31,15:07:34
90850,15:07:53,15:08:00,15:08:00,15:08:02
84265,15:08:04,15:08:06,15:08:07,15:08:09
85279,15:08:28,15:08:30,15:08:31,15:08:32
87836,15:08:32,15:08:32,15:08:33,15:08:36
88789,0,15:08:40,15:08:41,15:08:43
86827,15:08:41,15:08:43,15:08:44,15:08:46
88713,15:08:45,15:08:50,15:08:51,15:08:53
86638,15:08:51,15:08:53,15:08:54,15:08:56
83480,15:08:59,15:09:02,15:09:03,15:09:05
88403,15:09:05,15:09:11,15:09:12,15:09:14
85098,15:09:23,15:09:24,15:09:25,15:09:27
85018,15:09:26,15:09:27,15:09:27,15:09:30
89516,15:09:30,15:09:31,15:09:32,15:09:34
88984,15:09:32,15:09:34,15:09:34,15:09:38
87438,15:09:36,15:09:38,15:09:39,15:09:41
86956,15:11:18,15:11:19,15:11:20,15:11:22
87405,15:11:27,15:11:27,15:11:28,15:11:31
87445,15:12:53,15:12:55,15:12:56,15:12:59
90533,15:12:57,15:12:59,15:13:00,15:13:02
87821,15:13:03,15:13:03,15:13:04,15:13:06
87964,15:13:05,15:13:06,15:13:07,15:13:09
86756,15:13:10,15:13:10,15:13:11,15:13:14
88753,15:13:13,15:13:14,15:13:14,15:13:17
86001,15:13:20,15:13:28,15:13:29,15:13:31
83821,15:13:32,15:13:33,15:13:34,15:13:36
87661,15:13:48,15:13:50,15:13:51,15:13:53
89540,15:13:53,15:13:55,15:13:56,15:13:58
84811,15:13:57,15:13:58,15:13:59,15:14:01
89502,15:14:04,15:14:05,15:14:05,15:14:08
86762,15:14:07,15:14:08,15:14:09,15:14:11
89557,15:14:11,15:14:11,15:14:12,15:14:14
89000,15:14:13,15:14:14,15:14:15,15:14:17
89667,15:14:34,15:14:36,15:14:37,15:14:40
85025,15:16:17,15:16:21,15:16:22,15:16:24
87627,15:17:25,15:17:33,15:17:34,15:17:36
88199,15:17:45,15:17:47,15:17:48,15:17:50
