size(byte),cam_time_sent,edge_time_arv,edge_time_sent,telegram_time_arv
38280,15:02:16,15:02:16,15:02:18,15:02:20
38485,15:03:05,15:03:06,15:03:07,15:03:09
38592,15:03:08,15:03:09,15:03:09,15:03:13
39183,15:15:31,15:15:32,15:15:32,15:15:34
38421,15:15:58,15:15:58,15:15:58,15:16:00
37044,15:16:23,15:16:24,15:16:24,15:16:26
34129,15:16:53,15:16:57,15:16:58,15:17:00
33498,15:16:59,15:17:00,15:17:00,15:17:02
33830,15:17:03,15:17:04,15:17:04,15:17:06
32881,15:17:15,15:17:17,15:17:17,15:17:19
30940,15:17:46,15:17:47,15:17:47,15:17:49
31052,15:17:55,15:17:56,15:17:57,15:17:59
30133,15:18:04,15:18:04,15:18:04,15:18:06
29829,15:18:12,15:18:12,15:18:13,15:18:15
29340,15:18:14,15:18:15,15:18:15,15:18:17
28738,15:19:38,15:19:38,15:19:39,15:19:41
