size(byte),cam_time_sent,edge_time_arv,edge_time_sent,telegram_time_arv
69377,12:07:10,12:07:11,12:07:12,12:07:14
65770,12:07:13,12:07:14,12:07:15,12:07:16
67664,12:07:17,12:07:18,12:07:19,12:07:20
67509,12:07:19,12:07:24,12:07:24,12:07:27
68840,12:07:26,12:07:30,12:07:30,12:07:33
67798,12:07:31,12:07:33,12:07:33,12:07:35
69609,12:09:44,12:09:47,12:09:48,12:09:50
68151,12:09:50,12:09:54,12:09:54,12:09:58
66774,12:10:23,12:10:41,12:10:42,12:10:44
68014,12:11:32,12:11:36,12:11:36,12:11:38
67482,12:11:50,12:11:52,12:11:52,12:11:54
66349,12:11:53,12:11:54,12:11:55,12:11:57
68269,12:11:57,12:11:59,12:12:00,12:12:01
68722,12:12:00,12:12:02,12:12:02,12:12:04
68180,12:12:15,12:12:21,12:12:21,12:12:25
68953,12:12:28,12:12:30,12:12:31,12:12:33
66018,12:13:58,12:14:00,12:14:00,12:14:03
67063,12:14:01,12:14:04,12:14:04,12:14:06
65691,12:15:19,12:15:21,12:15:22,12:15:24
66540,12:15:22,12:15:26,12:15:26,12:15:28
64429,12:16:38,12:16:40,12:16:40,12:16:42
69647,12:18:53,12:18:56,12:18:56,12:18:59
68393,12:24:39,12:24:43,12:24:44,12:24:46
66594,12:25:03,12:25:04,12:25:05,12:25:06
68535,12:25:06,12:25:09,12:25:09,12:25:11
68590,12:25:10,12:25:12,12:25:12,12:25:14
68449,12:25:14,12:25:16,12:25:17,12:25:18
67481,12:25:43,12:25:46,12:25:46,12:25:48
62527,12:27:39,12:27:41,12:27:42,12:27:43
65385,12:28:17,12:28:19,12:28:19,12:28:21
65126,12:28:19,12:28:22,12:28:22,12:28:24
65356,12:28:25,12:28:27,12:28:27,12:28:29
64831,12:28:51,12:28:53,12:28:54,12:28:55
63085,12:28:54,12:28:56,12:28:57,12:28:59
64652,12:29:00,12:29:02,12:29:03,12:29:04
65071,12:29:03,12:29:05,12:29:06,12:29:07
64776,12:29:08,12:29:11,12:29:11,12:29:13
65243,12:29:12,12:29:14,12:29:14,12:29:16
65060,12:29:19,12:29:21,12:29:21,12:29:23
65106,12:29:22,12:29:24,12:29:24,12:29:27
64932,12:29:28,12:29:30,12:29:30,12:29:32
64786,12:29:37,12:29:39,12:29:39,12:29:41
65369,0,12:32:13,12:32:14,12:32:15
65945,12:32:14,12:32:17,12:32:17,12:32:19
63537,12:32:25,12:32:29,12:32:30,12:32:33
63066,12:32:31,12:32:33,12:32:34,12:32:36
63234,12:32:35,12:32:37,12:32:37,12:32:40
64553,12:32:40,12:32:43,12:32:43,12:32:47
65554,12:32:43,12:32:47,12:32:47,12:32:50
66733,12:32:48,12:32:51,12:32:51,12:32:54
66932,12:33:04,12:33:08,12:33:09,12:33:12
65673,12:33:29,12:33:30,12:33:30,12:33:32
64673,12:33:33,12:33:34,12:33:34,12:33:37
67851,12:33:45,12:33:49,12:33:49,12:33:51
67295,12:33:49,12:33:51,12:33:51,12:33:55
70234,12:35:39,12:35:41,12:35:41,12:35:47
69692,0,12:35:47,12:35:47,12:35:52
70719,12:35:49,12:35:52,12:35:53,12:35:56
69377,12:36:20,12:36:23,12:36:23,12:36:26
72153,0,12:37:04,12:37:04,12:37:08
