size(byte),cam_time_sent,edge_time_arv,edge_time_sent,telegram_time_arv
55414,07:00:27,11:27:07,11:27:12,11:27:14
69828,11:28:43,11:28:46,11:28:47,11:28:49
66060,11:28:46,11:28:49,11:28:49,11:28:51
93586,11:29:49,11:29:51,11:29:52,11:29:54
93089,11:30:17,11:30:19,11:30:20,11:30:22
95106,11:30:20,11:30:32,11:30:33,11:30:35
56016,12:06:52,12:06:54,12:06:54,12:06:56
54079,12:10:42,12:10:53,12:10:53,12:10:55
70546,12:13:23,12:13:29,12:13:30,12:13:32
72130,12:13:59,12:14:10,12:14:11,12:14:13
66971,12:14:37,12:14:39,12:14:40,12:14:42
67628,12:16:28,12:16:31,12:16:32,12:16:33
.
36548,12:35:40,12:35:43,12:35:44,12:35:45
34072,12:35:47,12:35:50,12:35:50,12:35:52
29842,12:36:00,12:36:02,12:36:02,12:36:04
29710,12:36:05,12:36:07,12:36:07,12:36:09
29752,12:36:07,12:36:09,12:36:09,12:36:10
29515,12:36:11,12:36:12,12:36:13,12:36:14
30022,12:36:16,12:36:18,12:36:18,12:36:20
29434,12:36:18,12:36:20,12:36:21,12:36:22
28029,12:36:23,12:36:24,12:36:25,12:36:27
28462,12:36:24,12:36:27,12:36:27,12:36:29
26775,12:36:29,12:36:30,12:36:31,12:36:32
25334,12:36:30,12:36:32,12:36:33,12:36:34
24786,12:36:35,12:36:37,12:36:37,12:36:39
30423,12:36:40,12:36:42,12:36:42,12:36:44
28518,12:36:42,12:36:44,12:36:44,12:36:46
92777,12:58:05,12:58:08,12:58:09,12:58:11
92471,13:00:49,13:00:54,13:00:54,13:00:56
85149,07:00:47,13:17:43,13:17:44,13:17:45
91617,07:01:05,13:18:02,13:18:02,13:18:04
82717,07:01:12,13:18:11,13:18:11,13:18:14
32725,13:42:01,13:42:02,13:42:02,13:42:04
40415,13:42:08,13:42:09,13:42:10,13:42:11
35412,13:42:51,13:42:53,13:42:53,13:42:54
35998,13:42:52,13:42:54,13:42:55,13:42:56
36112,13:42:58,13:43:00,13:43:00,13:43:02
36319,13:43:00,13:43:02,13:43:02,13:43:04
37116,13:43:05,13:43:07,13:43:07,13:43:09
37547,13:43:07,13:43:09,13:43:09,13:43:11
35600,13:43:14,13:43:15,13:43:16,13:43:17
35780,13:43:20,13:43:23,13:43:23,13:43:25
36127,13:43:23,13:43:25,13:43:25,13:43:26
