size(byte),cam_time_sent,edge_time_arv,edge_time_sent,telegram_time_arv
70499,09:48:24,09:48:25,09:48:26,09:48:29
73261,09:48:27,09:48:29,09:48:29,09:48:34
71805,09:50:28,09:50:29,09:50:29,09:50:32
75945,09:55:41,09:55:42,09:55:43,09:55:45
78863,09:55:44,09:55:45,09:55:45,09:55:48
78553,09:56:57,09:56:58,09:56:58,09:57:00
74888,09:57:11,09:57:11,09:57:12,09:57:14
76779,09:57:12,09:57:14,09:57:14,09:57:16
78795,09:57:53,09:57:54,09:57:54,09:57:56
75070,09:59:20,09:59:20,09:59:20,09:59:23
81585,09:59:21,09:59:23,09:59:23,09:59:25
72296,10:03:55,10:03:55,10:03:56,10:03:57
71668,10:03:56,10:03:57,10:03:58,10:04:00
73473,10:04:09,10:04:10,10:04:10,10:04:13
68831,10:04:11,10:04:13,10:04:13,10:04:16
71741,10:04:16,10:04:17,10:04:17,10:04:20
70847,10:04:19,10:04:20,10:04:20,10:04:22
68937,10:04:24,10:04:25,10:04:25,10:04:28
71753,10:04:32,10:04:33,10:04:34,10:04:36
71047,10:04:35,10:04:36,10:04:36,10:04:38
70417,10:04:40,10:04:41,10:04:42,10:04:44
72010,10:04:43,10:04:45,10:04:45,10:04:48
73278,10:04:56,10:04:56,10:04:57,10:04:59
73077,10:04:58,10:05:01,10:05:01,10:05:03
73523,10:05:06,10:05:09,10:05:09,10:05:11
73727,10:05:26,10:05:29,10:05:29,10:05:31
74164,10:05:31,10:05:31,10:05:32,10:05:34
74147,0,10:05:36,10:05:36,10:05:38
74543,10:05:37,10:05:38,10:05:39,10:05:41
75768,10:05:46,10:05:46,10:05:47,10:05:49
73124,10:05:57,10:06:00,10:06:00,10:06:04
76027,0,10:06:11,10:06:12,10:06:14
77895,10:06:14,10:06:15,10:06:16,10:06:17
77542,10:06:22,10:06:22,10:06:23,10:06:25
73675,10:06:59,10:07:00,10:07:00,10:07:02
76411,10:07:07,10:07:07,10:07:07,10:07:09
75276,10:11:46,10:11:46,10:11:46,10:11:48
77184,10:16:02,10:16:03,10:16:03,10:16:05
76534,10:16:05,10:16:06,10:16:06,10:16:08
77888,10:16:11,10:16:12,10:16:12,10:16:14
74733,10:16:14,10:16:14,10:16:15,10:16:18
72501,10:16:35,10:16:35,10:16:36,10:16:38
72392,10:16:37,10:16:38,10:16:38,10:16:40
73252,10:16:43,10:16:45,10:16:46,10:16:48
72935,10:16:46,10:16:48,10:16:48,10:16:50
73901,10:16:51,10:16:52,10:16:53,10:16:55
73458,10:16:54,10:16:55,10:16:55,10:16:57
74499,10:16:58,10:17:00,10:17:00,10:17:02
74711,10:17:01,10:17:02,10:17:03,10:17:05
73071,10:17:18,10:17:22,10:17:22,10:17:26
75649,10:17:28,10:17:30,10:17:31,10:17:33
74231,10:17:33,10:17:33,10:17:34,10:17:36
73895,10:17:35,10:17:36,10:17:37,10:17:40
70039,10:18:09,10:18:12,10:18:13,10:18:16
84525,10:44:39,10:44:41,10:44:41,10:44:43
83512,10:44:42,10:44:46,10:44:46,10:44:49
83089,10:44:52,10:44:55,10:44:55,10:44:57
82896,10:44:58,10:44:59,10:45:00,10:45:02
82674,10:45:01,10:45:03,10:45:03,10:45:06
78752,10:49:56,10:50:01,10:50:01,10:50:03
82129,10:50:15,10:50:16,10:50:16,10:50:18
78160,10:50:31,10:50:32,10:50:32,10:50:34
73749,10:55:19,10:55:19,10:55:20,10:55:22
72268,10:55:27,10:55:29,10:55:29,10:55:31
77056,10:59:58,10:59:59,11:00:00,11:00:02
75409,11:00:16,11:00:17,11:00:17,11:00:19
76777,11:00:18,11:00:19,11:00:20,11:00:21
72392,11:01:49,11:01:51,11:01:52,11:01:54
28272,14:55:25,14:55:27,14:55:27,14:55:30
28641,14:55:30,14:55:31,14:55:31,14:55:33
28583,15:12:50,15:12:51,15:12:51,15:12:54
