size(byte),cam_time_sent,edge_time_arv,edge_time_sent,telegram_time_arv
38026,17:01:09,17:01:10,17:01:11,17:01:14
35100,17:02:04,17:02:05,17:02:05,17:02:07
34275,17:02:28,17:02:29,17:02:29,17:02:31
33219,17:02:29,17:02:32,17:02:32,17:02:35
34079,17:02:47,17:02:48,17:02:48,17:02:50
34577,17:02:49,17:02:50,17:02:51,17:02:53
32376,17:03:13,17:03:15,17:03:15,17:03:17
31788,17:04:12,17:04:17,17:04:17,17:04:19
29895,17:04:32,17:04:33,17:04:33,17:04:35
30432,17:04:33,17:04:37,17:04:37,17:04:39
31343,17:04:42,17:04:47,17:04:48,17:04:50
32033,17:05:13,17:05:15,17:05:15,17:05:17
32015,17:05:25,17:05:26,17:05:27,17:05:29
29958,17:05:36,17:05:38,17:05:38,17:05:40
30191,17:05:44,17:05:45,17:05:45,17:05:47
30286,17:05:45,17:05:47,17:05:48,17:05:50
27735,17:07:24,17:07:25,17:07:25,17:07:27
28410,17:07:25,17:07:27,17:07:28,17:07:30
26764,17:08:41,17:08:43,17:08:44,17:08:45
39213,17:08:44,17:08:46,17:08:46,17:08:48
40704,17:08:49,17:08:50,17:08:50,17:08:52
40787,17:08:57,17:08:59,17:08:59,17:09:02
39950,17:09:00,17:09:02,17:09:02,17:09:04
39484,17:09:05,17:09:07,17:09:07,17:09:09
39962,17:09:08,17:09:09,17:09:10,17:09:12
40065,17:09:13,17:09:15,17:09:15,17:09:17
39037,17:09:16,17:09:18,17:09:18,17:09:20
38981,17:09:28,17:09:38,17:09:38,17:09:40
37750,17:09:39,17:09:40,17:09:41,17:09:43
37027,17:09:55,17:09:57,17:09:58,17:09:59
37665,17:10:02,17:10:03,17:10:04,17:10:05
37466,17:10:04,17:10:05,17:10:06,17:10:08
32837,17:12:32,17:12:36,17:12:36,17:12:38
33874,17:12:36,17:12:38,17:12:39,17:12:41
33576,17:12:56,17:12:58,17:12:58,17:13:01
33469,17:12:59,17:13:01,17:13:01,17:13:03
32803,17:13:14,17:13:17,17:13:17,17:13:19
32088,17:13:28,17:13:34,17:13:35,17:13:37
32214,17:13:39,17:13:43,17:13:43,17:13:45
32448,17:13:44,17:13:45,17:13:46,17:13:48
32158,17:13:51,17:13:54,17:13:54,17:13:56
31303,17:14:01,17:14:03,17:14:03,17:14:06
31307,17:14:03,17:14:07,17:14:07,17:14:10
29611,17:14:49,17:14:53,17:14:54,17:14:56
30397,17:15:08,17:15:11,17:15:11,17:15:13
30163,17:15:11,17:15:13,17:15:13,17:15:15
29373,17:15:41,17:15:42,17:15:43,17:15:44
45116,17:16:16,17:16:18,17:16:18,17:16:20
44115,17:16:19,17:16:21,17:16:21,17:16:23
45578,17:16:23,17:16:24,17:16:25,17:16:27
43750,17:16:24,17:16:27,17:16:27,17:16:29
