size(byte),cam_time_sent,edge_time_arv,edge_time_sent,telegram_time_arv
56914,12:17:39,12:17:44,12:17:45,12:17:46
64727,12:19:59,12:20:08,12:20:09,12:20:10
65582,12:20:07,12:20:10,12:20:11,12:20:13
81276,12:23:40,12:23:44,12:23:44,12:23:46
89467,12:42:32,12:42:28,12:42:29,12:42:39
89593,12:42:34,12:42:39,12:42:39,12:42:41
75466,12:42:39,12:42:41,12:42:42,12:42:46
75301,12:42:42,12:42:46,12:42:47,12:42:50
77489,12:58:08,12:58:11,12:58:12,12:58:14
91724,13:15:09,13:15:11,13:15:11,13:15:14
91645,13:15:11,13:15:14,13:15:14,13:15:16
90935,13:16:01,13:16:05,13:16:06,13:16:08
91561,13:16:05,13:16:08,13:16:09,13:16:11
75387,13:16:29,13:16:31,13:16:31,13:16:33
75695,13:16:30,13:16:33,13:16:33,13:16:35
75547,13:16:35,13:16:37,13:16:37,13:16:39
75726,13:16:36,13:16:39,13:16:39,13:16:41
92193,13:17:37,13:17:41,13:17:42,13:17:44
76956,13:17:55,13:17:58,13:17:59,13:18:01
75928,13:17:58,13:18:02,13:18:02,13:18:04
72994,13:18:04,13:18:06,13:18:07,13:18:08
73113,13:18:06,13:18:11,13:18:11,13:18:13
55563,13:23:20,13:23:23,13:23:23,13:23:25
86921,13:23:34,13:23:36,13:23:37,13:23:38
87816,13:23:36,13:23:38,13:23:39,13:23:41
58753,13:23:45,13:23:46,13:23:47,13:23:48
58354,13:23:46,13:23:48,13:23:49,13:23:50
87167,13:23:50,13:23:52,13:23:52,13:23:54
86184,13:23:52,13:23:54,13:23:55,13:23:56
90527,13:26:01,13:26:04,13:26:04,13:26:06
89549,13:26:06,13:26:08,13:26:08,13:26:10
90490,13:26:07,13:26:10,13:26:10,13:26:12
61303,13:26:38,13:26:40,13:26:40,13:26:42
61509,13:26:40,13:26:42,13:26:42,13:26:43
60020,13:26:51,13:26:53,13:26:53,13:26:55
92175,13:26:53,13:26:55,13:26:55,13:26:57
93807,13:27:21,13:27:22,13:27:23,13:27:25
60191,13:27:22,13:27:25,13:27:25,13:27:33
88960,13:27:27,13:27:33,13:27:33,13:27:35
87884,13:27:28,13:27:35,13:27:35,13:27:37
92094,13:27:32,13:27:37,13:27:38,13:27:39
60354,13:27:34,13:27:39,13:27:40,13:27:41
60002,13:27:50,13:27:52,13:27:52,13:27:54
90608,13:27:52,13:27:54,13:27:54,13:27:56

19789,07:04:35,21:30:54,21:30:56,21:30:58
19357,21:31:30,21:31:32,21:31:32,21:31:34
19479,21:31:31,21:31:34,21:31:34,21:31:36
22862,21:31:37,21:31:38,21:31:38,21:31:40
22211,21:31:38,21:31:40,21:31:40,21:31:42
20620,21:31:45,21:31:46,21:31:47,21:31:48
22663,21:59:39,21:59:41,21:59:41,21:59:44
24936,22:45:52,22:45:53,22:45:55,22:45:57
24933,22:46:02,22:46:04,22:46:04,22:46:05
24466,22:48:07,22:48:09,22:48:09,22:48:11
22106,22:48:08,22:48:11,22:48:11,22:48:12
25558,22:48:16,22:48:18,22:48:18,22:48:20
23371,23:26:07,23:26:08,23:26:09,23:26:11
21446,23:26:13,23:26:15,23:26:15,23:26:17
21624,23:26:14,23:26:17,23:26:17,23:26:18
19701,23:26:20,23:26:21,23:26:22,23:26:23
22219,23:26:21,23:26:23,23:26:23,23:26:25
38077,23:37:47,23:37:49,23:37:49,23:37:51
50730,23:41:50,23:41:52,23:41:52,23:41:54
24402,23:48:50,23:48:51,23:48:51,23:48:53
